Extras,total_premiums,total_claims,total_margin,avg_policies,policies_start,policies_end,total_services,loss_ratio,margin_pct,qtr_premium_per_policy,qtr_services_per_policy,severity_per_service,qtr_margin_per_policy,policy_growth_pct
Entry,73955177.19,67720476.06,6234701.13,75512.88,71706,78514,1159297,0.9157,0.0843,122.42,1.919,58.42,10.32,0.0949
Premium,164785343.0,138351705.45,26433637.55,39430.88,42409,36738,1979417,0.8396,0.1604,522.39,6.275,69.9,83.8,-0.1337
Standard,371466176.86,326931346.15,44534830.72,181311.12,191347,171760,5721637,0.8801,0.1199,256.1,3.9446,57.14,30.7,-0.1024
